Obs. Date,Obs. value,Series key,Indicator title,Units,Obs. status
2002-07,247.45,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-07,339.88,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-08,255.77,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-08,342.3,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-09,258.86,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-09,346.98,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-10,254.36,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-10,355.29,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-11,255.22,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-11,360.77,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-12,283.35,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-12,392.95,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2003-01,284.06,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2003-01,352.11,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2003-02,276.91,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2003-02,358.07,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2003-03,278.96,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2003-03,365.43,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2003-05,297.63,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2003-05,384.12,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2003-06,307.87,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2003-06,391.39,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2003-07,266.11,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2003-07,403.55,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2003-09,289.77,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2003-09,406.44,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2003-10,292.05,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2003-10,412.23,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2003-11,274.3,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2003-11,419.22,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2004-02,283.91,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2004-02,433.44,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2004-03,277.71,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2004-03,439.94,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2004-04,297.89,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2004-04,450.2,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2004-06,327.58,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2004-06,465.09,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2004-07,313.19,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2004-07,478.57,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2004-08,293.24,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2004-08,475.73,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2004-10,319.16,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2004-10,486.95,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2004-11,308.33,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2004-11,491.91,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2004-12,306.8,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2004-12,517.28,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2005-01,328.41,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2005-01,502.38,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2005-03,332.74,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2005-03,516.39,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2005-04,335.49,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2005-04,523.27,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2005-05,322.55,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2005-05,529,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2005-07,343.99,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2005-07,550.68,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2005-08,332.59,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2005-08,544.43,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
